Core setup creates ogstun TUN interface,<object> Core setup <relationship> creates <object> ogstun TUN interface.,CoreSetup,creates,OgstunTUNInterface,
ogstun TUN interface provides IPv4 subnets,<object> ogstun TUN interface <relationship> provides <object> IPv4 subnets.,OgstunTUNInterface,provides,IPv4Subnets,
ogstun TUN interface provides IPv6 subnets,<object> ogstun TUN interface <relationship> provides <object> IPv6 subnets.,OgstunTUNInterface,provides,IPv6Subnets,
ogstun TUN interface supports UPF operations,<object> ogstun TUN interface <relationship> supports <object> UPF operations.,OgstunTUNInterface,supports,UPFOperations,
IP forwarding must be enabled to allow UE-originated packets,<object> IP forwarding <relationship> must be enabled to allow <object> UE-originated packets.,IPForwarding,mustBeEnabledToAllow,UEOriginatedPackets,
IP forwarding is set using net.ipv4.ip_forward,<object> IP forwarding <relationship> is set using <object> net.ipv4.ip_forward.,IPForwarding,isSetUsing,NetIpv4IpForward,
Firewall rules enforce subnet isolation,<object> Firewall rules <relationship> enforce <object> subnet isolation.,FirewallRules,enforce,SubnetIsolation,
Subnet isolation applies to 10.45.0.0/16,<object> Subnet isolation <relationship> applies to <object> 10.45.0.0/16.,SubnetIsolation,appliesTo,104500016,
Subnet isolation blocks unauthorized access to NF services,<object> Subnet isolation <relationship> blocks <object> unauthorized access to NF services.,SubnetIsolation,blocks,UnauthorizedAccessToNFServices,
Open5GS NFs run as systemd services,<object> Open5GS NFs <relationship> run as <object> systemd services.,Open5GSNFs,runAs,SystemdServices,
Systemd services can be stopped or disabled individually,<object> Systemd services <relationship> can be stopped or disabled <object> individually.,SystemdServices,canBeStoppedOrDisabled,Individually,
open5gs-amfd is an example of a systemd service for an Open5GS NF,<object> open5gs-amfd <relationship> is <object> example of a systemd service for an Open5GS NF.,Open5gsAmfd,is,ExampleOfASystemdServiceForAnOpen5GSNF,
Running only subsets of NFs is supported by stopping irrelevant services,<object> Running only subsets of NFs <relationship> is supported by <object> stopping irrelevant services.,RunningOnlySubsetsOfNFs,isSupportedBy,StoppingIrrelevantServices,
NF bind addresses must align with core network settings,<object> NF bind addresses <relationship> must align with <object> core network settings.,NFBindAddresses,mustAlignWith,CoreNetworkSettings,
NF bind addresses must align with RAN network settings,<object> NF bind addresses <relationship> must align with <object> RAN network settings.,NFBindAddresses,mustAlignWith,RANNetworkSettings,
Kubernetes service IPs must align with core network settings,<object> Kubernetes service IPs <relationship> must align with <object> core network settings.,KubernetesServiceIPs,mustAlignWith,CoreNetworkSettings,
Kubernetes service IPs must align with RAN network settings,<object> Kubernetes service IPs <relationship> must align with <object> RAN network settings.,KubernetesServiceIPs,mustAlignWith,RANNetworkSettings,
Port mappings must align with core network settings,<object> Port mappings <relationship> must align with <object> core network settings.,PortMappings,mustAlignWith,CoreNetworkSettings,
Port mappings must align with RAN network settings,<object> Port mappings <relationship> must align with <object> RAN network settings.,PortMappings,mustAlignWith,RANNetworkSettings,
Open5GS uses Docker manifests,<object> Open5GS <relationship> uses <object> Docker manifests.,Open5GS,uses,DockerManifests,
Open5GS uses MongoDB,<object> Open5GS <relationship> uses <object> MongoDB.,Open5GS,uses,MongoDB,
Open5GS PCF includes dbi configuration,<object> Open5GS PCF <relationship> includes <object> dbi configuration.,Open5GSPCF,includes,DbiConfiguration,
dbi configuration points to MongoDB URI,<object> dbi configuration <relationship> points to <object> MongoDB URI.,DbiConfiguration,pointsTo,MongoDBURI,
dbi configuration supports service discovery,<object> dbi configuration <relationship> supports <object> service discovery.,DbiConfiguration,supports,ServiceDiscovery,
AMF can expose Prometheus metrics via an HTTP server,<object> AMF <relationship> can expose <object> Prometheus metrics via an HTTP server.,AMF,canExpose,PrometheusMetricsViaAnHTTPServer,
PCF can expose Prometheus metrics via an HTTP server,<object> PCF <relationship> can expose <object> Prometheus metrics via an HTTP server.,PCF,canExpose,PrometheusMetricsViaAnHTTPServer,
SMF can expose Prometheus metrics via an HTTP server,<object> SMF <relationship> can expose <object> Prometheus metrics via an HTTP server.,SMF,canExpose,PrometheusMetricsViaAnHTTPServer,
UPF can expose Prometheus metrics via an HTTP server,<object> UPF <relationship> can expose <object> Prometheus metrics via an HTTP server.,UPF,canExpose,PrometheusMetricsViaAnHTTPServer,
Prometheus metrics are exposed via an HTTP server,<object> Prometheus metrics <relationship> are exposed via <object> an HTTP server.,PrometheusMetrics,areExposedVia,AnHTTPServer,
Metrics endpoints are individually defined per NF instance,<object> Metrics endpoints <relationship> are individually defined per <object> NF instance.,MetricsEndpoints,areIndividuallyDefinedPer,NFInstance,
Prometheus scrapes /metrics endpoints every 10 seconds,<object> Prometheus <relationship> scrapes <object> /metrics endpoints every 10 seconds.,Prometheus,scrapes,MetricsEndpointsEvery10Seconds,
Prometheus uses job definitions in prometheus.yml,<object> Prometheus <relationship> uses <object> job definitions in prometheus.yml.,Prometheus,uses,JobDefinitionsInPrometheusYml,
Grafana connects to Prometheus as a data source,<object> Grafana <relationship> connects to <object> Prometheus as a data source.,Grafana,connectsTo,PrometheusAsADataSource,
Multiple SMF and UPF instances can be monitored in parallel,<object> Multiple SMF and UPF instances <relationship> can be monitored in <object> parallel.,MultipleSMFAndUPFInstances,canBeMonitoredIn,Parallel,
Parallel monitoring supports slice-specific deployments,<object> Parallel monitoring <relationship> supports <object> slice-specific deployments.,ParallelMonitoring,supports,SliceSpecificDeployments,
Open5GS’s build process includes libogsmetrics,<object> Open5GS’s build process <relationship> includes <object> libogsmetrics.,Open5GSBuildProcess,includes,Libogsmetrics,
Example metrics include counters for NAS registration requests (rm_reginitreq),<object> Example metrics <relationship> include <object> counters for NAS registration requests (rm_reginitreq).,ExampleMetrics,include,CountersForNASRegistrationRequestsRmReginitreq,
Example metrics include memory/resource usage (process_resident_memory_bytes),<object> Example metrics <relationship> include <object> memory/resource usage (process_resident_memory_bytes).,ExampleMetrics,include,MemoryResourceUsageProcessResidentMemoryBytes,
Distinct job_name entries in Prometheus enable selective scraping,<object> Distinct job_name entries in Prometheus <relationship> enable <object> selective scraping.,DistinctJobNameEntriesInPrometheus,enable,SelectiveScraping,
Distinct job_name entries in Prometheus enable dashboarding per NF type,<object> Distinct job_name entries in Prometheus <relationship> enable <object> dashboarding per NF type.,DistinctJobNameEntriesInPrometheus,enable,DashboardingPerNFType,
Sample config binds metrics HTTP servers to host IPs,<object> Sample config <relationship> binds <object> metrics HTTP servers to host IPs.,SampleConfig,binds,MetricsHTTPServersToHostIPs,
Binding metrics HTTP servers to host IPs facilitates external observability,<object> Binding metrics HTTP servers to host IPs <relationship> facilitates <object> external observability.,BindingMetricsHTTPServersToHostIPs,facilitates,ExternalObservability,
External observability applies to containerized NFs,<object> External observability <relationship> applies to <object> containerized NFs.,ExternalObservability,appliesTo,ContainerizedNFs,
Metrics integration demonstrates Open5GS operating as 'Prometheus-enabled' microservices,<object> Metrics integration <relationship> demonstrates <object> Open5GS operating as 'Prometheus-enabled' microservices.,MetricsIntegration,demonstrates,Open5GSOperatingAsPrometheusEnabledMicroservices,
Open5GS operates as 'Prometheus-enabled' microservices,<object> Open5GS <relationship> operates as <object> 'Prometheus-enabled' microservices.,Open5GS,operatesAs,PrometheusEnabledMicroservices,
Prometheus-enabled' microservices run in Kubernetes environments,<object> 'Prometheus-enabled' microservices <relationship> run in <object> Kubernetes environments.,PrometheusEnabledMicroservices,runIn,KubernetesEnvironments,
Prometheus-enabled' microservices run in Docker environments,<object> 'Prometheus-enabled' microservices <relationship> run in <object> Docker environments.,PrometheusEnabledMicroservices,runIn,DockerEnvironments,
Open5GS is installed via Ubuntu PPA,<object> Open5GS <relationship> is installed via <object> Ubuntu PPA.,Open5GS,isInstalledVia,UbuntuPPA,
Hardware with Intel i5 is preferred for MongoDB compatibility,<object> Hardware with Intel i5 <relationship> is preferred for <object> MongoDB compatibility.,HardwareWithIntelI5,isPreferredFor,MongoDBCompatibility,
Default Open5GS configs use loopback IPs,<object> Default Open5GS configs <relationship> use <object> loopback IPs.,DefaultOpen5GSConfigs,use,LoopbackIPs,
Integration with external RAN simulators requires replacing loopback addresses in NF YAML,<object> Integration with external RAN simulators <relationship> requires <object> replacing loopback addresses in NF YAML.,IntegrationWithExternalRANSimulators,requires,ReplacingLoopbackAddressesInNFYAML,
Replacing loopback addresses in NF YAML uses host LAN IPs,<object> Replacing loopback addresses in NF YAML <relationship> uses <object> host LAN IPs.,ReplacingLoopbackAddressesInNFYAML,uses,HostLANIPs,
PLMN ID must match Open5GS core configuration,<object> PLMN ID <relationship> must match <object> Open5GS core configuration.,PLMNID,mustMatch,Open5GSCoreConfiguration,
PLMN ID must match UERANSIM/gNB RAN configuration,<object> PLMN ID <relationship> must match <object> UERANSIM/gNB RAN configuration.,PLMNID,mustMatch,UERANSIMgNBRANConfiguration,
TAC must match Open5GS core configuration,<object> TAC <relationship> must match <object> Open5GS core configuration.,TAC,mustMatch,Open5GSCoreConfiguration,
TAC must match UERANSIM/gNB RAN configuration,<object> TAC <relationship> must match <object> UERANSIM/gNB RAN configuration.,TAC,mustMatch,UERANSIMgNBRANConfiguration,
Matching PLMN ID and TAC across configurations ensures successful connectivity,<object> Matching PLMN ID and TAC across configurations <relationship> ensures <object> successful connectivity.,MatchingPLMNIDAndTACAcrossConfigurations,ensures,SuccessfulConnectivity,
UERANSIM open5gs-gnb.yaml must specify linkIp,<object> UERANSIM open5gs-gnb.yaml <relationship> must specify <object> linkIp.,UERANSIMOpen5gsGnbYaml,mustSpecify,LinkIp,
UERANSIM open5gs-gnb.yaml must specify ngapIp,<object> UERANSIM open5gs-gnb.yaml <relationship> must specify <object> ngapIp.,UERANSIMOpen5gsGnbYaml,mustSpecify,NgapIp,
UERANSIM open5gs-gnb.yaml must specify gtpIp,<object> UERANSIM open5gs-gnb.yaml <relationship> must specify <object> gtpIp.,UERANSIMOpen5gsGnbYaml,mustSpecify,GtpIp,
UERANSIM open5gs-gnb.yaml must specify core AMF address,<object> UERANSIM open5gs-gnb.yaml <relationship> must specify <object> core AMF address.,UERANSIMOpen5gsGnbYaml,mustSpecify,CoreAMFAddress,
"Specifying linkIp, ngapIp, gtpIp, and core AMF address enables N2 connectivity","<object> Specifying linkIp, ngapIp, gtpIp, and core AMF address <relationship> enables <object> N2 connectivity.",SpecifyingLinkIpNgapIpGtpIpAndCoreAMFAddress,enables,N2Connectivity,
UE uses gnbSearchList,<object> UE <relationship> uses <object> gnbSearchList.,UE,uses,GnbSearchList,
gnbSearchList is defined in UERANSIM config,<object> gnbSearchList <relationship> is defined in <object> UERANSIM config.,GnbSearchList,isDefinedIn,UERANSIMConfig,
"UE forms TUN interface (e.g., uesimtun0)","<object> UE <relationship> forms <object> TUN interface (e.g., uesimtun0).",UE,forms,TUNInterfaceEgUesimtun0,
TUN interface (uesimtun0) receives IP routes,<object> TUN interface (uesimtun0) <relationship> receives <object> IP routes.,TUNInterfaceUesimtun0,receives,IPRoutes,
IP routes are delivered via UPF,<object> IP routes <relationship> are delivered via <object> UPF.,IPRoutes,areDeliveredVia,UPF,
UE external Internet access can be validated using curl,<object> UE external Internet access <relationship> can be validated using <object> curl.,UEExternalInternetAccess,canBeValidatedUsing,Curl,
UE external Internet access can be validated using ping,<object> UE external Internet access <relationship> can be validated using <object> ping.,UEExternalInternetAccess,canBeValidatedUsing,Ping,
curl operates over TUN interface,<object> curl <relationship> operates over <object> TUN interface.,Curl,operatesOver,TUNInterface,
Test environments employ TCP proxies,<object> Test environments <relationship> employ <object> TCP proxies.,TestEnvironments,employ,TCPProxies,
TCP proxies operate on public IPs,<object> TCP proxies <relationship> operate on <object> public IPs.,TCPProxies,operateOn,PublicIPs,
TCP proxies on public IPs support multi-machine end-to-end network validation,<object> TCP proxies on public IPs <relationship> support <object> multi-machine end-to-end network validation.,TCPProxiesOnPublicIPs,support,MultiMachineEndToEndNetworkValidation,
Open5GS core services integrate with RAN simulators,<object> Open5GS core services <relationship> integrate with <object> RAN simulators.,Open5GScoreServices,integrateWith,RANSimulators,
Integration occurs through manual IP alignment,<object> Integration <relationship> occurs through <object> manual IP alignment.,Integration,occursThrough,ManualIPAlignment,
Manual IP alignment is done in core YAML configurations,<object> Manual IP alignment <relationship> is done in <object> core YAML configurations.,ManualIPAlignment,isDoneIn,CoreYAMLConfigurations,
Open5GS AMF binds NGAP/SCTP to loopback by default,<object> Open5GS AMF <relationship> binds <object> NGAP/SCTP to loopback by default.,Open5GSAMF,binds,NGAPSCTPToLoopbackByDefault,
Open5GS AMF must set ngap.addr in amf.yaml to LAN IP,<object> Open5GS AMF <relationship> must set <object> ngap.addr in amf.yaml to LAN IP.,Open5GSAMF,mustSet,NgapAddrInAmfYamlToLANIP,
Setting ngap.addr in amf.yaml to LAN IP enables RAN connectivity,<object> Setting ngap.addr in amf.yaml to LAN IP <relationship> enables <object> RAN connectivity.,SettingNgapAddrInAmfYamlToLANIP,enables,RANConnectivity,
N2 interface uses NGAP over SCTP,<object> N2 interface <relationship> uses <object> NGAP over SCTP.,N2Interface,uses,NGAPOverSCTP,
Multi-host setups involve Core on separate servers,<object> Multi-host setups <relationship> involve <object> Core on separate servers.,MultiHostSetups,involve,CoreOnSeparateServers,
Multi-host setups involve RAN on separate servers,<object> Multi-host setups <relationship> involve <object> RAN on separate servers.,MultiHostSetups,involve,RANOnSeparateServers,
Explicit IP binding is required for N2 to function across hosts,<object> Explicit IP binding <relationship> is required for <object> N2 to function across hosts.,ExplicitIPBinding,isRequiredFor,N2ToFunctionAcrossHosts,
sudo systemctl restart open5gs-amfd applies ngap.addr binding change,<object> sudo systemctl restart open5gs-amfd <relationship> applies <object> ngap.addr binding change.,SudoSystemctlRestartOpen5gsAmfd,applies,NgapAddrBindingChange,
ngap.addr binding change affects AMF service,<object> ngap.addr binding change <relationship> affects <object> AMF service.,NgapAddrBindingChange,affects,AMFService,
UE RAN simulation with UERANSIM requires libsctp-dev,<object> UE RAN simulation with UERANSIM <relationship> requires <object> libsctp-dev.,UERANSimulationWithUERANSIM,requires,LibsctpDev,
UE RAN simulation with UERANSIM requires CMake,<object> UE RAN simulation with UERANSIM <relationship> requires <object> CMake.,UERANSimulationWithUERANSIM,requires,CMake,
libsctp-dev provides SCTP libraries,<object> libsctp-dev <relationship> provides <object> SCTP libraries.,LibsctpDev,provides,SCTPLibraries,
CMake is used for building the gNB module,<object> CMake <relationship> is used for <object> building the gNB module.,CMake,isUsedFor,BuildingTheGNBModule,
Proper AMF binding allows remote UERANSIM-created gNB to successfully attach,<object> Proper AMF binding <relationship> allows <object> remote UERANSIM-created gNB to successfully attach.,ProperAMFBinding,allows,RemoteUERANSIMCreatedGNBToSuccessfullyAttach,
N2 SCTP handshake logs confirm successful gNB-AMF connectivity,<object> N2 SCTP handshake logs <relationship> confirm <object> successful gNB-AMF connectivity.,N2SCTPHandshakeLogs,confirm,SuccessfulGNBAMFConnectivity,
Successful gNB-AMF connectivity validates multi-host network setup,<object> Successful gNB-AMF connectivity <relationship> validates <object> multi-host network setup.,SuccessfulGNBAMFConnectivity,validates,MultiHostNetworkSetup,
Open5GS metrics system exports performance counters,<object> Open5GS metrics system <relationship> exports <object> performance counters.,Open5GSMetricsSystem,exports,PerformanceCounters,
Open5GS metrics system exports gauges,<object> Open5GS metrics system <relationship> exports <object> gauges.,Open5GSMetricsSystem,exports,Gauges,
Performance counters monitor active PDP contexts,<object> Performance counters <relationship> monitor <object> active PDP contexts.,PerformanceCounters,monitor,ActivePDPContexts,
Gauges monitor NF activity,<object> Gauges <relationship> monitor <object> NF activity.,Gauges,monitor,NFActivity,
Metrics in Open5GS is implemented via libprom,<object> Metrics in Open5GS <relationship> is implemented via <object> libprom.,MetricsInOpen5GS,isImplementedVia,Libprom,
Metrics subsystem uses generic API in lib/metrics/,<object> Metrics subsystem <relationship> uses <object> generic API in lib/metrics/.,MetricsSubsystem,uses,GenericAPIInLibMetrics,
Each NF hosts its own /metrics endpoint,<object> Each NF <relationship> hosts <object> its own /metrics endpoint.,EachNF,hosts,ItsOwnMetricsEndpoint,
SMF hosts its own /metrics endpoint,<object> SMF <relationship> hosts <object> its own /metrics endpoint.,SMF,hosts,ItsOwnMetricsEndpoint,
AMF hosts its own /metrics endpoint,<object> AMF <relationship> hosts <object> its own /metrics endpoint.,AMF,hosts,ItsOwnMetricsEndpoint,
UPF hosts its own /metrics endpoint,<object> UPF <relationship> hosts <object> its own /metrics endpoint.,UPF,hosts,ItsOwnMetricsEndpoint,
Hosting its own /metrics endpoint allows individual scraping by Prometheus,<object> Hosting its own /metrics endpoint <relationship> allows <object> individual scraping by Prometheus.,HostingItsOwnMetricsEndpoint,allows,IndividualScrapingByPrometheus,
Metrics definitions include counters,<object> Metrics definitions <relationship> include <object> counters.,MetricsDefinitions,include,Counters,
Metrics definitions include gauges,<object> Metrics definitions <relationship> include <object> gauges.,MetricsDefinitions,include,Gauges,
Metrics definitions include histograms,<object> Metrics definitions <relationship> include <object> histograms.,MetricsDefinitions,include,Histograms,
"Counters, gauges, and histograms capture NF performance and load","<object> Counters, gauges, and histograms <relationship> capture <object> NF performance and load.",CountersGaugesAndHistograms,capture,NFPerformanceAndLoad,
HTTP metrics server is embedded in NF process,<object> HTTP metrics server <relationship> is embedded in <object> NF process.,HTTPMetricsServer,isEmbeddedIn,NFProcess,
Prometheus scraping is enabled by building Open5GS with the Prometheus backend,<object> Prometheus scraping <relationship> is enabled by <object> building Open5GS with the Prometheus backend.,PrometheusScraping,isEnabledBy,BuildingOpen5GSWithThePrometheusBackend,
Metrics API is a stub without the Prometheus backend,<object> Metrics API <relationship> is <object> stub without the Prometheus backend.,MetricsAPI,is,StubWithoutThePrometheusBackend,
Example metrics include active session counts,<object> Example metrics <relationship> include <object> active session counts.,ExampleMetrics,include,ActiveSessionCounts,
Example metrics include internal NF resource telemetry,<object> Example metrics <relationship> include <object> internal NF resource telemetry.,ExampleMetrics,include,InternalNFResourceTelemetry,
Conditional build approach allows operators to disable metrics support,<object> Conditional build approach <relationship> allows <object> operators to disable metrics support.,ConditionalBuildApproach,allows,OperatorsToDisableMetricsSupport,
The architecture supports containerized deployments,<object> The architecture <relationship> supports <object> containerized deployments.,TheArchitecture,supports,ContainerizedDeployments,
CSPs transition from PNFs to CNFs,<object> CSPs <relationship> transition from <object> PNFs to CNFs.,CSPs,transitionFrom,PNFSToCNFs,
Transition to CNFs uses Kubernetes,<object> Transition to CNFs <relationship> uses <object> Kubernetes.,TransitionToCNFs,uses,Kubernetes,
Disaggregated network functions run at the edge,<object> Disaggregated network functions <relationship> run at <object> the edge.,DisaggregatedNetworkFunctions,runAt,TheEdge,
Disaggregated network functions run under 5 ms RTT,<object> Disaggregated network functions <relationship> run under <object> 5 ms RTT.,DisaggregatedNetworkFunctions,runUnder,FiveMsRTT,
RU is a disaggregated network function,<object> RU <relationship> is <object> disaggregated network function.,RU,is,DisaggregatedNetworkFunction,
AMF is deployed in centralized cloud regions,<object> AMF <relationship> is deployed in <object> centralized cloud regions.,AMF,isDeployedIn,CentralizedCloudRegions,
SMF is deployed in centralized cloud regions,<object> SMF <relationship> is deployed in <object> centralized cloud regions.,SMF,isDeployedIn,CentralizedCloudRegions,
Control-plane NFs deployed in centralized cloud regions are not latency-critical,<object> Control-plane NFs deployed in centralized cloud regions <relationship> are not <object> latency-critical.,ControlPlaneNFsDeployedInCentralizedCloudRegions,areNot,LatencyCritical,
Anthos/GDC provides unified orchestration,<object> Anthos/GDC <relationship> provides <object> unified orchestration.,AnthosGDC,provides,UnifiedOrchestration,
Anthos/GDC provides policy,<object> Anthos/GDC <relationship> provides <object> policy.,AnthosGDC,provides,Policy,
CNFs adhere to microservice design,<object> CNFs <relationship> adhere to <object> microservice design.,CNFs,adhereTo,MicroserviceDesign,
CNFs adhere to CI/CD lifecycle models,<object> CNFs <relationship> adhere to <object> CI/CD lifecycle models.,CNFs,adhereTo,CICDLifecycleModels,
Microservice design and CI/CD lifecycle models enable fast feature deployment,<object> Microservice design and CI/CD lifecycle models <relationship> enable <object> fast feature deployment.,MicroserviceDesignAndCICDLifecycleModels,enable,FastFeatureDeployment,
Microservice design and CI/CD lifecycle models enable upgrades,<object> Microservice design and CI/CD lifecycle models <relationship> enable <object> upgrades.,MicroserviceDesignAndCICDLifecycleModels,enable,Upgrades,
Edge deployment enables CSPs to host 5G-CNFs on shared infrastructure,<object> Edge deployment <relationship> enables <object> CSPs to host 5G-CNFs on shared infrastructure.,EdgeDeployment,enables,CSPsToHost5GCNFsOnSharedInfrastructure,
Hybrid clouds allow dynamic workload placement,<object> Hybrid clouds <relationship> allow <object> dynamic workload placement.,HybridClouds,allow,DynamicWorkloadPlacement,
Dynamic workload placement assigns edge to real-time tasks,<object> Dynamic workload placement <relationship> assigns <object> edge to real-time tasks.,DynamicWorkloadPlacement,assigns,EdgeToRealTimeTasks,
Dynamic workload placement assigns cloud to batch tasks,<object> Dynamic workload placement <relationship> assigns <object> cloud to batch tasks.,DynamicWorkloadPlacement,assigns,CloudToBatchTasks,
Dynamic workload placement assigns cloud to training tasks,<object> Dynamic workload placement <relationship> assigns <object> cloud to training tasks.,DynamicWorkloadPlacement,assigns,CloudToTrainingTasks,
Telco workloads use Infrastructure-as-Code pipelines,<object> Telco workloads <relationship> use <object> Infrastructure-as-Code pipelines.,TelcoWorkloads,use,InfrastructureAsCodePipelines,
Infrastructure-as-Code pipelines enable security across distributed sites,<object> Infrastructure-as-Code pipelines <relationship> enable <object> security across distributed sites.,InfrastructureAsCodePipelines,enable,SecurityAcrossDistributedSites,
Infrastructure-as-Code pipelines enable scaling across distributed sites,<object> Infrastructure-as-Code pipelines <relationship> enable <object> scaling across distributed sites.,InfrastructureAsCodePipelines,enable,ScalingAcrossDistributedSites,
Infrastructure-as-Code pipelines enable orchestration across distributed sites,<object> Infrastructure-as-Code pipelines <relationship> enable <object> orchestration across distributed sites.,InfrastructureAsCodePipelines,enable,OrchestrationAcrossDistributedSites,
Latency-aware deployment ensures UPF/CU-UP services are co-located near users,<object> Latency-aware deployment <relationship> ensures <object> UPF/CU-UP services are co-located near users.,LatencyAwareDeployment,ensures,UPFCUUPServicesAreCoLocatedNearUsers,
Container-based CNF approach enables feature-rich experiences,<object> Container-based CNF approach <relationship> enables <object> feature-rich experiences.,ContainerBasedCNFApproach,enables,FeatureRichExperiences,
Telco workloads are migrating from VNFs in VMs,<object> Telco workloads <relationship> are migrating from <object> VNFs in VMs.,TelcoWorkloads,areMigratingFrom,VNFsInVMs,
Kubernetes Operators use Custom Resource Definitions (CRDs),<object> Kubernetes Operators <relationship> use <object> Custom Resource Definitions (CRDs).,KubernetesOperators,use,CustomResourceDefinitionsCRDs,
Kubernetes Operators support complex lifecycle tasks for CNFs,<object> Kubernetes Operators <relationship> support <object> complex lifecycle tasks for CNFs.,KubernetesOperators,support,ComplexLifecycleTasksForCNFs,
Complex lifecycle tasks include upgrades,<object> Complex lifecycle tasks <relationship> include <object> upgrades.,ComplexLifecycleTasks,include,Upgrades,
Complex lifecycle tasks include scaling,<object> Complex lifecycle tasks <relationship> include <object> scaling.,ComplexLifecycleTasks,include,Scaling,
Custom Resource Definitions (CRDs) enable upgrades of CNFs,<object> Custom Resource Definitions (CRDs) <relationship> enable <object> upgrades of CNFs.,CustomResourceDefinitionsCRDs,enable,UpgradesOfCNFs,
Custom Resource Definitions (CRDs) enable scaling of CNFs,<object> Custom Resource Definitions (CRDs) <relationship> enable <object> scaling of CNFs.,CustomResourceDefinitionsCRDs,enable,ScalingOfCNFs,
Microservice-based CNFs run each function in separate Pods,<object> Microservice-based CNFs <relationship> run each function in <object> separate Pods.,MicroserviceBasedCNFs,runEachFunctionIn,SeparatePods,
Separate Pods enable independent scaling,<object> Separate Pods <relationship> enable <object> independent scaling.,SeparatePods,enable,IndependentScaling,
Separate Pods enable failure isolation,<object> Separate Pods <relationship> enable <object> failure isolation.,SeparatePods,enable,FailureIsolation,
Monolithic CNFs simplify deployment,<object> Monolithic CNFs <relationship> simplify <object> deployment.,MonolithicCNFs,simplify,Deployment,
Monolithic CNFs lack scalability granularity,<object> Monolithic CNFs <relationship> lack <object> scalability granularity.,MonolithicCNFs,lack,ScalabilityGranularity,
Scalability granularity is offered by microservice designs,<object> Scalability granularity <relationship> is offered by <object> microservice designs.,ScalabilityGranularity,isOfferedBy,MicroserviceDesigns,
KNI combines Kubernetes,<object> KNI <relationship> combines <object> Kubernetes.,KNI,combines,Kubernetes,
KNI combines DPDK,<object> KNI <relationship> combines <object> DPDK.,KNI,combines,DPDK,
KNI combines SR-IOV,<object> KNI <relationship> combines <object> SR-IOV.,KNI,combines,SRIOV,
KNI combines GPU networking,<object> KNI <relationship> combines <object> GPU networking.,KNI,combines,GPUNetworking,
KNI supports telco-grade performance,<object> KNI <relationship> supports <object> telco-grade performance.,KNI,supports,TelcoGradePerformance,
Istio secures APIs between control-plane CNFs in SBA,<object> Istio <relationship> secures <object> APIs between control-plane CNFs in SBA.,Istio,secures,APIsBetweenControlPlaneCNFsInSBA,
Operators enable Site Reliability Engineering for CNFs,<object> Operators <relationship> enable <object> Site Reliability Engineering for CNFs.,Operators,enable,SiteReliabilityEngineeringForCNFs,
Site Reliability Engineering for CNFs involves automating observability,<object> Site Reliability Engineering for CNFs <relationship> involves <object> automating observability.,SiteReliabilityEngineeringForCNFs,involves,AutomatingObservability,
Site Reliability Engineering for CNFs involves self-healing,<object> Site Reliability Engineering for CNFs <relationship> involves <object> self-healing.,SiteReliabilityEngineeringForCNFs,involves,SelfHealing,
Site Reliability Engineering for CNFs involves dynamic scaling,<object> Site Reliability Engineering for CNFs <relationship> involves <object> dynamic scaling.,SiteReliabilityEngineeringForCNFs,involves,DynamicScaling,
KNI supports edge deployments,<object> KNI <relationship> supports <object> edge deployments.,KNI,supports,EdgeDeployments,
5G core CNFs are deployed in multi-tier hub-and-spoke architecture,<object> 5G core CNFs <relationship> are deployed in <object> multi-tier hub-and-spoke architecture.,FiveGCoreCNFs,areDeployedIn,MultiTierHubAndSpokeArchitecture,
UPF is co-located with RAN,<object> UPF <relationship> is <object> co-located with RAN.,UPF,is,CoLocatedWithRAN,
Istio-based service mesh provides mTLS,<object> Istio-based service mesh <relationship> provides <object> mTLS.,IstioBasedServiceMesh,provides,MTLS,
Logs are aggregated centrally from edge sites,<object> Logs <relationship> are aggregated centrally from <object> edge sites.,Logs,areAggregatedCentrallyFrom,EdgeSites,
Zero-touch provisioning enables on-demand scaling of 5G CNF clusters,<object> Zero-touch provisioning <relationship> enables <object> on-demand scaling of 5G CNF clusters.,ZeroTouchProvisioning,enables,OnDemandScalingOf5GCNFClusters,
ACM placement rules ensure CNFs are deployed to appropriate clusters,<object> ACM placement rules <relationship> ensure <object> CNFs are deployed to appropriate clusters.,ACMPlacementRules,ensure,CNFsAreDeployedToAppropriateClusters,
Network fabric layers include hub management,<object> Network fabric layers <relationship> include <object> hub management.,NetworkFabricLayers,include,HubManagement,
Network fabric layers include inter-cluster connectivity,<object> Network fabric layers <relationship> include <object> inter-cluster connectivity.,NetworkFabricLayers,include,InterClusterConnectivity,
Network fabric layers include RAN access paths,<object> Network fabric layers <relationship> include <object> RAN access paths.,NetworkFabricLayers,include,RANAccessPaths,
UPF selection is determined by SMF,<object> UPF selection <relationship> is determined by <object> SMF.,UPFSelection,isDeterminedBy,SMF,
Partial edge deployment supports only UPF instances,<object> Partial edge deployment <relationship> supports <object> only UPF instances.,PartialEdgeDeployment,supports,OnlyUPFInstances,
Service mesh federation allows secure cross-cluster communication,<object> Service mesh federation <relationship> allows <object> secure cross-cluster communication.,ServiceMeshFederation,allows,SecureCrossClusterCommunication,
Observability fabric leverages centralized policy enforcement,<object> Observability fabric <relationship> leverages <object> centralized policy enforcement.,ObservabilityFabric,leverages,CentralizedPolicyEnforcement,
