Source,Summary sentence,Factoids
,"N5 enables application functions (AF) to communicate policy triggers to the PCF via HTTP/2, often for content-aware optimization.","""N5 interface enables application functions (AF)"",
""Application functions (AF) communicate policy triggers to PCF"",
""Communication of policy triggers to PCF occurs via HTTP/2"",
""Policy triggers support content-aware optimization"""
,"N6 links the UPF to external data networks (DN) over IP and handles routing, NAT, and service exposure for user-plane packets.","""N6 links UPF to external data networks (DN) over IP"",
""N6 handles routing for user-plane packets"",
""N6 handles NAT for user-plane packets"",
""N6 handles service exposure for user-plane packets"""
,N7 interface is used by the SMF to retrieve policy rules and QoS profiles from the PCF using RESTful HTTP APIs.,"""N7 interface is used by SMF"",
""SMF retrieves policy rules"",
""SMF retrieves QoS profiles"",
""Retrieval of policy rules and QoS profiles occurs via N7 interface"",
""N7 interface uses RESTful HTTP APIs"""
,N8 provides the AMF access to subscriber and authentication data by querying the UDM over HTTP/2.,"""N8 interface provides AMF access to subscriber data"",
""N8 interface provides AMF access to authentication data"",
""AMF access to subscriber and authentication data occurs by querying UDM"",
""Querying UDM uses HTTP/2"""
,"N9 enables inter-UPF communication via GTP-U for distributed user-plane routing, load balancing, or service chaining.","""N9 interface enables inter-UPF communication"",
""N9 interface uses GTP-U"",
""Inter-UPF communication supports distributed user-plane routing"",
""Inter-UPF communication supports load balancing"",
""Inter-UPF communication supports service chaining"""
,"N10 allows SMF to obtain subscriber policy data from the UDM, including PDU session authorization and QoS configuration.","""N10 interface allows SMF to obtain subscriber policy data"",
""SMF obtains subscriber policy data from UDM"",
""Subscriber policy data includes PDU session authorization"",
""Subscriber policy data includes QoS configuration"""
,"N11 connects the AMF and SMF, enabling control-plane interactions such as PDU session setup and mobility handling.","""N11 interface connects AMF and SMF"",
""N11 interface enables control-plane interactions"",
""Control-plane interactions include PDU session setup"",
""Control-plane interactions include mobility handling"""
,N12 allows the AMF to forward authentication requests to the AUSF during UE registration or security mode command procedures.,"""N12 interface allows AMF to forward authentication requests to AUSF"",
""AMF forwards authentication requests to AUSF"",
""Forwarding authentication requests to AUSF occurs during UE registration"",
""Forwarding authentication requests to AUSF occurs during security mode command procedures"""
,N13 connects AUSF to UDM for obtaining authentication vectors like AV/EAP for 5G-AKA procedures.,"""N13 interface connects AUSF and UDM"",
""AUSF obtains authentication vectors from UDM"",
""Authentication vectors include AV"",
""Authentication vectors include EAP"",
""Authentication vectors are used for 5G-AKA procedures"""
,"N14 supports AMF-to-AMF communication for inter-region handover, UE context transfer, and mobility continuity.","""N14 supports AMF-to-AMF communication"",
""AMF-to-AMF communication enables inter-region handover"",
""AMF-to-AMF communication enables UE context transfer"",
""AMF-to-AMF communication enables mobility continuity"""
,"N15 is used by the PCF to supply policy rules directly to the AMF, influencing access and mobility behaviors.","""N15 interface is used by PCF"",
""PCF supplies policy rules to AMF"",
""Supplying policy rules to AMF influences access behaviors"",
""Supplying policy rules to AMF influences mobility behavior"""
,N16 links two SMFs (typically in roaming scenarios) to coordinate session continuity and policy across PLMN boundaries.,"""N16 links two SMFs"",
""Linking two SMFs occurs in roaming scenarios"",
""N16 coordinates session continuity across PLMN boundaries"",
""N16 coordinates policy across PLMN boundaries"""
,"N1 is the NAS signaling interface between UE and AMF, used for registration, authentication, and mobility procedures","""N1 interface carries NAS signaling between UE and AMF"",
""N1 interface is used for registration procedures"",
""N1 interface is used for authentication procedures"",
""N1 interface is used for mobility procedures"""
,"N1 signaling is bidirectional, encapsulated in RRC at the UE side and transported via NGAP through gNB to AMF.","""N1 signaling is bidirectional"",
""N1 signaling is encapsulated in RRC at the UE side"",
""RRC encapsulation of N1 signaling occurs at UE side"",
""N1 signaling is transported via NGAP through gNB to AMF"",
""NGAP through gNB transports N1 signaling to AMF"""
,"N2 connects the gNB and AMF, using NGAP over SCTP to handle UE context and handover signaling.","N2 connects gNB and AMF
N2 uses NGAP over SCTP
NGAP over SCTP handles UE context
NGAP over SCTP handles handover signaling"
,N2 transmits messages such as Initial UE Message and UE Context Release between RAN and Core.,"""N2 transmits messages such as Initial UE Message"",
""N2 transmits messages such as UE Context Release"",
""Initial UE Message is transmitted between RAN and Core"",
""UE Context Release is transmitted between RAN and Core"""
,: N3 uses GTP-U over UDP to forward user-plane traffic between gNB and UPF after PDU session establishment.,"""N3 uses GTP-U over UDP"",
""N3 forwards user-plane traffic between gNB and UPF"",
""Forwarding user-plane traffic between gNB and UPF occurs after PDU session establishment"""
,N3 is unidirectional for data flow (uplink/downlink) and not involved in control signaling.,"""N3 is unidirectional for uplink data flow"",
""N3 is unidirectional for downlink data flow"",
""N3 is not involved in control signaling"""
,"N4 is the control interface between SMF and UPF, enabling session creation, QoS enforcement, and traffic routing via PFCP.","""N4 is control interface between SMF and UPF"",
""N4 enables session creation"",
""N4 enables QoS enforcement"",
""N4 enables traffic routing via PFCP"""
,"N4 manages forwarding rules through PFCP messages such as FAR, QER, and BAR to control UPF behavior dynamically.","""N4 manages forwarding rules"",
""N4 uses PFCP message FAR"",
""N4 uses PFCP message QER"",
""N4 uses PFCP message BAR"",
""Managing forwarding rules using PFCP messages enables dynamic UPF behavior control"""
,5G supports simultaneous NAS sessions over cellular and Wi‑Fi by establishing multiple N1 control-plane connections.,"""5G supports simultaneous NAS sessions over cellular and Wi-Fi"",
""Simultaneous NAS sessions over cellular and Wi-Fi are established by multiple N1 control-plane connections"""
,IPsec tunnels (NWu/NWt) using IKEv2 and EAP‑5G secure NAS traffic to N3IWF/TNGF gateways.,"""IPsec tunnels use IKEv2"",
""IPsec tunnels use EAP-5G"",
""IPsec tunnels  secure NAS traffic to N3IWF gateways"",
""IPsec tunnels secure NAS traffic to TNGF gateways"",
""NWu is a IPsec tunnel"",
""NWt is a IPsec tunnel"""
,N1 over trusted Wi‑Fi uses IPsec with NULL encryption to avoid double encryption while preserving link-level security.,"""N1 over trusted Wi-Fi uses IPsec with NULL encryption"",
""IPsec with NULL encryption avoids double encryption"",
""IPsec with NULL encryption preserves link-level security"""
,N2 control-plane messages over non-3GPP access use NGAP/SCTP between gateway functions and AMF.,"""N2 control-plane messages occur over non-3GPP access"",
""N2 control-plane messages use NGAP/SCTP"",
""NGAP/SCTP connects gateway functions and AMF"""
,TWIF enables NAS signaling for legacy Wi‑Fi devices lacking EAP‑5G support by acting as a NAS proxy.,"""TWIF enables NAS signaling for legacy Wi-Fi devices lacking EAP-5G support"",
""TWIF acts as NAS proxy"""
,"N3 user-plane traffic between Wi‑Fi gateways and UPF uses GTP‑U over UDP, mirroring cellular data flow.","""N3 user-plane traffic between Wi-Fi gateways and UPF uses GTP-U over UDP"",
""N3 user-plane traffic between Wi-Fi gateways and UPF mirrors cellular data flow"""
,Service-Based Architecture (SBA) exists only between 5GC control-plane NFs via HTTP/2 REST APIs. ,"""Service-Based Architecture (SBA) exists only between 5GC control-plane NFs"",
""Service-Based Architecture (SBA) operates via HTTP/2 REST APIs"""
,"Interfaces N1, N2, N3, N4, N6, and N9 are executed outside the SBA domain using traditional control/user-plane protocols.","""N1 interface is executed outside SBA domain"",
""N2 interface is executed outside SBA domain"",
""N3 interface is executed outside SBA domain"",
""N4 interface is executed outside SBA domain"",
""N6 interface is executed outside SBA domain"",
""N9 interface is executed outside SBA domain"",
""N1 interface uses traditional control/user-plane protocols"",
""N2 interface uses traditional control/user-plane protocols"",
""N3 interface uses traditional control/user-plane protocols"",
""N4 interface uses traditional control/user-plane protocols"",
""N6 interface uses traditional control/user-plane protocols"",
""N9 interface uses traditional control/user-plane protocols"""
,"AMF and SMF represent separate functional domains in control-plane, enabling independent scaling and specialization.","""AMF represents a separate functional domain in the control-plane"",
""SMF represents a separate functional domain in the control-plane"",
""Separate functional domains in the control-plane enable independent scaling"",
""Separate functional domains in the control-plane enable specialization"""
,CUPS design separates control and user gateways for flexible placement and scalability in the 5G core.,"""CUPS design separates control gateways and user gateways"",
""CUPS design enables flexible placement in the 5G core"",
""CUPS design enables scalability in the 5G core"""
,"SBA-capable NFs are cloud-native microservices, orchestrated via container platforms with CI/CD pipelines.","""SBA-capable NFs are cloud-native microservices"",
""SBA-capable NFs are orchestrated via container platforms"",
""Container platforms use CI/CD pipelines"""
,"Control-plane APIs (e.g., Nsmf, Namf) are secured via TLS, whereas user-plane protocols (e.g., GTP‑U, PFCP) use UDP/SCTP.","""Control-plane APIs include Nsmf"",
""Control-plane APIs include Namf"",
""Control-plane APIs are secured via TLS"",
""User-plane protocols include GTP-U"",
""User-plane protocols include PFCP"",
""User-plane protocols use UDP/SCTP"""
,"SBA’s RESTful interfaces cannot directly carry UE or user-data-bound control messages (e.g., RRC or NAS).","""SBA’s RESTful interfaces cannot directly carry UE control messages"",
""SBA’s RESTful interfaces cannot directly carry user-data-bound control messages"",
""UE control messages include RRC"",
""User-data-bound control messages include NAS"""
,"In CUPS, user-plane functions like UPF scale and deploy separately from their control-plane counterparts (SMF, PCF).","""UPF scales separately from SMF"",
""UPF deploys separately from SMF"",
""UPF scales separately from PCF"",
""UPF deploys separately from PCF"""
,"Each Open5GS NF is configured via its own YAML file in /etc/open5gs/, specifying protocol ports, PLMN/TAC, and features.","""Open5GS NF is configured via its own YAML file in /etc/open5gs/"",
""YAML file in /etc/open5gs/ specifies protocol ports"",
""YAML file in /etc/open5gs/ specifies PLMN/TAC"",
""YAML file in /etc/open5gs/ specifies features"""
,Changing bind addresses in NF YAML requires consistent updates across RAN configurations to establish NGAP/GTP‑U links.,"""Changing bind addresses in NF YAML requires consistent updates across RAN configurations"",
""Consistent updates across RAN configurations establish NGAP/GTP-U links"""
,"AMF listens on NGAP SCTP port 38412; UPF listens for GTP‑U on PFCP-assigned port, both reflected in NF logs.","""AMF listens on NGAP SCTP port 38412"",
""UPF listens for GTP-U on PFCP-assigned port"",
""Port listening events are reflected in NF logs"""
,Log entries such as ngap_server() and gtp_server() confirm the NF’s protocol stack initialization and port bindings.,"""ngap_server() log entry confirms NF’s protocol stack initialization"",
""ngap_server() log entry confirms port bindings"",
""gtp_server() log entry confirms NF’s protocol stack initialization"",
""gtp_server() log entry confirms port bindings"""
,SCTP INIT/ABORT messages in logs reveal SCTP handshake status between gNB and AMF.,"SCTP INIT/ABORT messages occur in logs
SCTP INIT/ABORT messages reveal SCTP handshake status
SCTP handshake status is between gNB and AMF"
,Core setup creates ogstun TUN interface with IPv4/IPv6 subnets for UPF operations.,"""Core setup creates ogstun TUN interface"",
""ogstun TUN interface provides IPv4 subnets"",
""ogstun TUN interface provides IPv6 subnets"",
""ogstun TUN interface supports UPF operations"""
,IP forwarding (net.ipv4.ip_forward) must be enabled to allow UE-originated packets to route to WAN.,"""IP forwarding must be enabled to allow UE-originated packets"",
""IP forwarding is set using net.ipv4.ip_forward"",
""IP forwarding allows UE-originated packets"",
""UE-originated packets route to WAN"""
,"Firewall rules enforce subnet isolation (e.g., 10.45.0.0/16), blocking unauthorized access to NF services.","""Firewall rules enforce subnet isolation"",
""Subnet isolation applies to 10.45.0.0/16"",
""Subnet isolation blocks unauthorized access to NF services"""
,"Open5GS NFs run as systemd services and can be stopped or disabled individually (e.g., open5gs-amfd).","""Open5GS NFs run as systemd services"",
""systemd services can be stopped or disabled individually"",
""open5gs-amfd is an example of a systemd service for an Open5GS NF"""
,Running only subsets of NFs is supported by stopping irrelevant services and editing YAML configs accordingly.,"""Running only subsets of NFs is supported by stopping irrelevant services"",
""Running only subsets of NFs is supported by editing YAML configs accordingly"""
,"In Docker/Kubernetes mode, NF bind addresses, Kubernetes service IPs, and port mappings must align with core and RAN network settings.","""NF bind addresses must align with core network settings"",
""NF bind addresses must align with RAN network settings"",
""Kubernetes service IPs must align with core network settings"",
""Kubernetes service IPs must align with RAN network settings"",
""Port mappings must align with core network settings"",
""Port mappings must align with RAN network settings"""
,"Open5GS uses Docker manifests that configure upfPublicIP and amfif.ip/port, binding container network to host services","""Open5GS uses Docker manifests"",
""Docker manifests configure upfPublicIP"",
""Docker manifests configure amfif.ip/port"",
""Configuring upfPublicIP binds container network to host services"",
""Configuring amfif.ip/port binds container network to host services"""
,"Open5GS uses MongoDB (e.g., mongodb://localhost/open5gs) for stateful NF data storage like NRF, PCF, and UDR.","""Open5GS uses MongoDB"",
""MongoDB stores stateful NF data"",
""Stateful NF data includes NRF"",
""Stateful NF data includes PCF"",
""Stateful NF data includes UDR"",
""MongoDB connects using mongodb://localhost/open5gs"""
,"To support service discovery and policy control, Open5GS PCF includes dbi configuration pointing to a MongoDB URI.","""Open5GS PCF includes dbi configuration"",
""dbi configuration points to MongoDB URI"",
""dbi configuration supports service discovery"",
""dbi configuration supports policy control"""
,"Each NF (AMF, PCF, SMF, UPF) in Open5GS can expose Prometheus metrics via an HTTP server configured under metrics: in its YAML file.","""AMF can expose Prometheus metrics via an HTTP server"",
""PCF can expose Prometheus metrics via an HTTP server"",
""SMF can expose Prometheus metrics via an HTTP server"",
""UPF can expose Prometheus metrics via an HTTP server"",
""Prometheus metrics are exposed via an HTTP server"",
""HTTP server is configured under metrics:"",
""metrics: is defined in the NF’s YAML file"""
,"Metrics endpoints are individually defined per NF instance (e.g., open5gs-amfd, open5gs-smfd1, open5gs-upfd2) with distinct IP and port.","""Metrics endpoints are individually defined per NF instance"",
""NF instances include open5gs-amfd, open5gs-smfd1, open5gs-upfd2"",
""Metrics endpoints have distinct IP and port"""
,Prometheus scrapes /metrics endpoints every 10 seconds using job definitions matching NF names in prometheus.yml.,"""Prometheus scrapes /metrics endpoints every 10 seconds"",
""Prometheus uses job definitions in prometheus.yml"",
""Job definitions match NF names"""
,Grafana connects to Prometheus as a data source to visualize NF-specific metrics like ues_active or amf_session.,"""Grafana connects to Prometheus as a data source"",
""Grafana visualizes NF-specific metrics"",
""NF-specific metrics include ues_active"",
""NF-specific metrics include amf_session"""
,"Multiple SMF and UPF instances can be monitored in parallel, supporting slice- or region-specific deployments.","""Multiple SMF and UPF instances can be monitored in parallel"",
""Parallel monitoring supports slice-specific deployments"",
""Parallel monitoring supports region-specific deployments"""
,Open5GS’s build process includes libogsmetrics to compile libprom and libmicrohttpd support for metrics output.,"""Open5GS’s build process includes libogsmetrics"",
""libogsmetrics compiles libprom support for metrics output"",
""libogsmetrics compiles libmicrohttpd support for metrics output"""
,Example metrics include counters for NAS registration requests (rm_reginitreq) and memory/resource usage (process_resident_memory_bytes).,"""Example metrics include counters for NAS registration requests (rm_reginitreq)"",
""Example metrics include memory/resource usage (process_resident_memory_bytes)"""
,Using distinct job_name entries in Prometheus enables selective scraping and dashboarding per NF type.,"""Distinct job_name entries in Prometheus enable selective scraping"",
""Distinct job_name entries in Prometheus enable dashboarding per NF type"""
,"The sample config binds metrics HTTP servers to host IPs, facilitating external observability for containerized NFs.","""Sample config binds metrics HTTP servers to host IPs"",
""Binding metrics HTTP servers to host IPs facilitates external observability"",
""External observability applies to containerized NFs"""
,Metrics integration demonstrates how Open5GS can operate as 'Prometheus-enabled' microservices in Kubernetes or Docker environments.,"""Metrics integration demonstrates Open5GS operating as 'Prometheus-enabled' microservices"",
""Open5GS operates as 'Prometheus-enabled' microservices"",
""'Prometheus-enabled' microservices run in Kubernetes environments"",
""Prometheus-enabled' microservices run in Docker environments"""
,Open5GS is installed via Ubuntu PPA and requires MongoDB for subscriber context storage.,"""Open5GS is installed via Ubuntu PPA"",
""Open5GS requires MongoDB"",
""MongoDB stores subscriber context"""
,Hardware with Intel i5 is preferred for MongoDB compatibility over Celeron-based systems.,"""Hardware with Intel i5 is preferred for MongoDB compatibility"",
""Hardware with Intel i5 is preferred over Celeron-based systems"""
,"Default Open5GS configs use loopback IPs; to integrate with external RAN simulators, host LAN IPs must replace loopback addresses in NF YAML.","""Default Open5GS configs use loopback IPs"",
""Integration with external RAN simulators requires replacing loopback addresses in NF YAML"",
""Replacing loopback addresses in NF YAML uses host LAN IPs"""
,PLMN ID and TAC must match across core (Open5GS) and RAN (UERANSIM/gNB) configurations for successful connectivity.,"""PLMN ID must match Open5GS core configuration"",
""PLMN ID must match UERANSIM/gNB RAN configuration"",
""TAC must match Open5GS core configuration"",
""TAC must match UERANSIM/gNB RAN configuration"",
""Matching PLMN ID and TAC across configurations ensures successful connectivity"""
,"UERANSIM open5gs-gnb.yaml must specify linkIp, ngapIp, gtpIp, and core AMF address to enable N2 and N3 connectivity","""UERANSIM open5gs-gnb.yaml must specify linkIp"",
""UERANSIM open5gs-gnb.yaml must specify ngapIp"",
""UERANSIM open5gs-gnb.yaml must specify gtpIp"",
""UERANSIM open5gs-gnb.yaml must specify core AMF address"",
""Specifying linkIp, ngapIp, gtpIp, and core AMF address enables N2 connectivity"",
""Specifying linkIp, ngapIp, gtpIp, and core AMF address enables N3 connectivity"""
,UE uses gnbSearchList in UERANSIM config to locate gNB IP for network attachment.,"""UE uses gnbSearchList"",
""gnbSearchList is defined in UERANSIM config"",
""gnbSearchList locates gNB IP"",
""gNB IP is used for network attachment"""
,"Upon PDU session setup, the UE forms a TUN interface (e.g., uesimtun0) to receive IP routes via the UPF.","""UE forms TUN interface (e.g., uesimtun0)"",
""TUN interface (uesimtun0) receives IP routes"",
""IP routes are delivered via UPF"",
""PDU session setup triggers UE to form TUN interface"""
,UE external Internet access can be validated using tools like curl or ping over the TUN interface.,"""UE external Internet access can be validated using curl"",
""UE external Internet access can be validated using ping"",
""curl operates over TUN interface"",
""ping operates over TUN interface"""
,Test environments may employ TCP proxies on public IPs for multi-machine end-to-end network validation.,"""Test environments employ TCP proxies"",
""TCP proxies operate on public IPs"",
""TCP proxies on public IPs support multi-machine end-to-end network validation"""
,Open5GS core services integrate with RAN simulators through manual IP alignment in both core and RAN YAML configurations.,"""Open5GS core services integrate with RAN simulators"",
""Integration occurs through manual IP alignment"",
""Manual IP alignment is done in core YAML configurations"",
""Manual IP alignment is done in RAN YAML configurations"""
,Open5GS AMF by default binds NGAP/SCTP to loopback; must set ngap.addr in amf.yaml to LAN IP to enable RAN connectivity.,"""Open5GS AMF binds NGAP/SCTP to loopback by default"",
""Open5GS AMF must set ngap.addr in amf.yaml to LAN IP"",
""Setting ngap.addr in amf.yaml to LAN IP enables RAN connectivity"""
,N2 interface uses NGAP over SCTP to deliver UE NAS signaling and handover events from gNB to AMF.,"""N2 interface uses NGAP over SCTP"",
""N2 interface delivers UE NAS signaling from gNB to AMF"",
""N2 interface delivers handover events from gNB to AMF"""
,"For multi-host setups (Core and RAN on separate servers), explicit IP binding is required for N2 to function across hosts.","""Multi-host setups involve Core on separate servers"",
""Multi-host setups involve RAN on separate servers"",
""Explicit IP binding is required for N2 to function across hosts"""
,Running sudo systemctl restart open5gs-amfd applies the ngap.addr binding change to the AMF service.,"""sudo systemctl restart open5gs-amfd applies ngap.addr binding change"",
""ngap.addr binding change affects AMF service"""
,UE RAN simulation with UERANSIM requires SCTP libraries (libsctp-dev) and CMake for building the gNB module.,"""UE RAN simulation with UERANSIM requires libsctp-dev"",
""UE RAN simulation with UERANSIM requires CMake"",
""libsctp-dev provides SCTP libraries"",
""CMake is used for building the gNB module"",
""gNB module is part of UERANSIM"""
,Proper AMF binding allows remote UERANSIM-created gNB to successfully attach and exchange NGAP over SCTP.,"""Proper AMF binding allows remote UERANSIM-created gNB to successfully attach"",
""Remote UERANSIM-created gNB exchanges NGAP over SCTP"""
,"N2 SCTP handshake logs confirm successful gNB-AMF connectivity, validating multi-host network setup.","""N2 SCTP handshake logs confirm successful gNB-AMF connectivity"",
""Successful gNB-AMF connectivity validates multi-host network setup"""
,Open5GS metrics system was added to export performance counters and gauges for monitoring active PDP contexts and NF activity.,"""Open5GS metrics system exports performance counters"",
""Open5GS metrics system exports gauges"",
""Performance counters monitor active PDP contexts"",
""Gauges monitor NF activity"""
,"Metrics in Open5GS are implemented via libprom and libpromhttp, built on top of libmicrohttpd, enabling an embedded HTTP server.","""Metrics in Open5GS are implemented via libprom"",
""Metrics in Open5GS are implemented via libpromhttp"",
""libprom is built on top of libmicrohttpd"",
""libpromhttp is built on top of libmicrohttpd"",
""Building on top of libmicrohttpd enables embedded HTTP server"""
,"The metrics subsystem uses a generic API in lib/metrics/, with a conditional Prometheus backend and a no-op fallback.","""Metrics subsystem uses generic API in lib/metrics/"",
""Generic API in lib/metrics/ supports conditional Prometheus backend"",
""Generic API in lib/metrics/ supports no-op fallback"""
,"Each NF (SMF, AMF, UPF, etc.) hosts its own /metrics endpoint, allowing individual scraping by Prometheus.","""Each NF hosts its own /metrics endpoint"",
""SMF hosts its own /metrics endpoint"",
""AMF hosts its own /metrics endpoint"",
""UPF hosts its own /metrics endpoint"",
""Hosting its own /metrics endpoint allows individual scraping by Prometheus"""
,"Metrics definitions include counters, gauges, and potentially histograms to capture NF performance and load.","""Metrics definitions include counters"",
""Metrics definitions include gauges"",
""Metrics definitions include histograms"",
""Counters, gauges, and histograms capture NF performance and load"""
,"The HTTP metrics server is embedded in the NF process, so exposing metrics doesn’t require external exporters.","""HTTP metrics server is embedded in NF process"",
""Exposing metrics does not require external exporters"""
,"Prometheus scraping is enabled by building Open5GS with the Prometheus backend; otherwise, the metrics API is a stub.","""Prometheus scraping is enabled by building Open5GS with the Prometheus backend"",
""Metrics API is a stub without the Prometheus backend"""
,Example metrics include active session counts and internal NF resource telemetry.,"""Example metrics include active session counts"",
""Example metrics include internal NF resource telemetry"""
,The conditional build approach allows operators to disable metrics support by omitting libprom-related dependencies.,"""Conditional build approach allows operators to disable metrics support"",
""Disabling metrics support occurs by omitting libprom-related dependencies"""
,The architecture supports containerized deployments where each NF can be independently monitored.,"""The architecture supports containerized deployments"",
""Containerized deployments allow each NF to be independently monitored"""
,"CSPs transition from PNFs to CNFs using Kubernetes to gain vendor-agnostic, scalable infrastructure.","""CSPs transition from PNFs to CNFs"",
""Transition to CNFs uses Kubernetes"",
""Transition using Kubernetes enables vendor-agnostic infrastructure"",
""Transition using Kubernetes enables scalable infrastructure"""
,"Disaggregated network functions (RU, DU, CU‑UP, UPF) run at the edge under 5 ms RTT for optimal performance.","""Disaggregated network functions run at the edge"",
""Disaggregated network functions run under 5 ms RTT"",
""RU is a Disaggregated network functions"",
""UPF is a Disaggregated network functions"",
""DU is a Disaggregated network functions"",
""CU-UP is a Disaggregated network functions"",
""Running under 5 ms RTT provides optimal performance"""
,"Control-plane NFs like AMF and SMF are deployed in centralized cloud regions, not latency-critical.","""AMF is deployed in centralized cloud regions"",
""SMF is deployed in centralized cloud regions"",
""Control-plane NFs deployed in centralized cloud regions are not latency-critical"""
,"Anthos/GDC provides unified orchestration and policy across edge, private, and public 5G network deployments.","""Anthos/GDC provides unified orchestration and policy"",
""Unified orchestration and policy applies across edge deployments"",
""Unified orchestration and policy applies across private deployments"",
""Unified orchestration and policy applies across public 5G network deployments"""
,CNFs adhere to microservice design and CI/CD lifecycle models for fast feature deployment and upgrades.,"""CNFs adhere to microservice design"",
""CNFs adhere to CI/CD lifecycle models"",
""Microservice design and CI/CD lifecycle models enable fast feature deployment"",
""Microservice design and CI/CD lifecycle models enable upgrades"""
,"Edge deployment enables CSPs to host both 5G-CNFs and third-party edge applications (e.g., AR/VR) on shared infrastructure.","""Edge deployment enables CSPs to host 5G-CNFs on shared infrastructure"",
""Edge deployment enables CSPs to host third-party edge applications on shared infrastructure"",
""Third-party edge applications include AR/VR"""
,"Use of hybrid clouds allows dynamic workload placement—edge for real-time tasks, cloud for batch or training.","""Hybrid clouds allow dynamic workload placement"",
""Dynamic workload placement assigns edge to real-time tasks"",
""Dynamic workload placement assigns cloud to batch tasks"",
""Dynamic workload placement assigns cloud to training tasks"""
,"Telco workloads use infrastructure-as-code pipelines for security, scaling, and orchestration across distributed sites.","""Telco workloads use Infrastructure-as-Code pipelines"",
""Infrastructure-as-Code pipelines enable security across distributed sites"",
""Infrastructure-as-Code pipelines enable scaling across distributed sites"",
""Infrastructure-as-Code pipelines enable orchestration across distributed sites"""
,Latency-aware deployment ensures UPF/CU-UP services are co-located near user for ultra-low latency applications.,"""Latency-aware deployment ensures UPF/CU-UP services are co-located near users"",
""Co-location near users supports ultra-low latency applications"""
,Container-based CNF approach enables feature-rich experiences while keeping costs and TCO under control.,"""Container-based CNF approach enables feature-rich experiences"",
""Container-based CNF approach keeps costs under control"",
""Container-based CNF approach keeps TCO under control"""
,Telco workloads are migrating from VNFs in VMs to Kubernetes-managed CNFs deployed as Pods.,"""Telco workloads are migrating from VNFs in VMs"",
""Telco workloads are migrating to Kubernetes-managed CNFs deployed as Pods"""
,"Kubernetes Operators, via CRDs, support complex lifecycle tasks like upgrades and scaling for CNFs.","""Kubernetes Operators use Custom Resource Definitions (CRDs)"",
""Kubernetes Operators support complex lifecycle tasks for CNFs"",
""Complex lifecycle tasks include upgrades"",
""Complex lifecycle tasks include scaling"",
""Custom Resource Definitions (CRDs) enable upgrades of CNFs"",
""Custom Resource Definitions (CRDs) enable scaling of CNFs"""
,"Microservice-based CNFs run each function in separate Pods, enabling independent scaling and failure isolation.","""Microservice-based CNFs run each function in separate Pods"",
""Separate Pods enable independent scaling"",
""Separate Pods enable failure isolation"""
,Monolithic CNFs simplify deployment but lack scalability granularity compared to microservice designs.,"""Monolithic CNFs simplify deployment"",
""Monolithic CNFs lack scalability granularity"",
""Scalability granularity is offered by microservice designs"""
,"KNI combines Kubernetes with DPDK, SR‑IOV, and GPU networking to support telco-grade performance.","""KNI combines Kubernetes"",
""KNI combines DPDK"",
""KNI combines SR-IOV"",
""KNI combines GPU networking"",
""KNI supports telco-grade performance"""
,Service mesh tools (Istio/Envoy) secure and manage APIs between control-plane CNFs in SBA.,"""Istio secures APIs between control-plane CNFs in SBA"",
""Envoy secures APIs between control-plane CNFs in SBA"",
""Service mesh tools (Istio/Envoy) manage APIs between control-plane CNFs in SBA"",
""APIs between control-plane CNFs operate under SBA"""
,"Operators enable Site Reliability Engineering for CNFs by automating observability, self-healing, and dynamic scaling.","""Operators enable Site Reliability Engineering for CNFs"",
""Site Reliability Engineering for CNFs involves automating observability"",
""Site Reliability Engineering for CNFs involves self-healing"",
""Site Reliability Engineering for CNFs involves dynamic scaling"""
,KNI supports edge and core deployments using unified Kubernetes control plane for CNF orchestration.,"""KNI supports edge deployments"",
""KNI supports core deployments"",
""Edge and core deployments use unified Kubernetes control plane"",
""Unified Kubernetes control plane facilitates CNF orchestration"""
,5G core CNFs are deployed in multi-tier hub-and-spoke architecture with control-plane centralized and user-plane at edge.,"""5G core CNFs are deployed in multi-tier hub-and-spoke architecture"",
""Multi-tier hub-and-spoke architecture features centralized control-plane"",
""Multi-tier hub-and-spoke architecture features user-plane at edge"",
""Control-plane is centralized"",
""User-plane is deployed at edge"""
,"Edge CNFs (UPF/CU-UP) are co-located with RAN, while CNFs like AMF/SMF remain in central cloud.","""UPF is co-located with RAN"",
""CU-UP is co-located with RAN"",
""AMF remains in central cloud"",
""SMF remains in central cloud"""
,"Istio-based service mesh provides mTLS, secure discovery, tracing and policy across distributed CNFs.","""Istio-based service mesh provides mTLS"",
""Istio-based service mesh provides secure discovery"",
""Istio-based service mesh provides tracing"",
""Istio-based service mesh provides policy enforcement"",
""mTLS, secure discovery, tracing, and policy enforcement operate across distributed CNFs"""
,"Logs, metrics, and traces from edge sites are aggregated centrally (e.g., via Loki) for full-stack observability.","""Logs are aggregated centrally from edge sites"",
""Metrics are aggregated centrally from edge sites"",
""Traces are aggregated centrally from edge sites"",
""Central aggregation provides full-stack observability"""
,Zero-touch provisioning and GitOps enable on-demand scaling and burst deployments of 5G CNF clusters.,"""Zero-touch provisioning enables on-demand scaling of 5G CNF clusters"",
""Zero-touch provisioning enables burst deployments of 5G CNF clusters"",
""GitOps enables on-demand scaling of 5G CNF clusters"",
""GitOps enables burst deployments of 5G CNF clusters"""
